,agile methodologies,analytical skills,consulting,interpersonal skills,leadership,management,negotiation,organization,presentation skills,sdlc,strategic partnerships,teamwork
0,1.0,0.65874655,0.6639298,0.66637983,0.55157608,0.63001408,0.6905187,0.58817709,0.61267572,0.74812118,0.59410977,0.65637612
1,0.65874655,1.0,0.69861793,0.86734382,0.65628633,0.64691641,0.64237942,0.66886656,0.86038642,0.71226684,0.67085629,0.72193735
2,0.6639298,0.69861793,1.0,0.70470058,0.64463931,0.60239282,0.70389282,0.68973843,0.70102795,0.65821004,0.59649277,0.72473604
3,0.66637983,0.86734382,0.70470058,1.0,0.62970986,0.63251296,0.68893293,0.6925186,0.88411937,0.75640266,0.64607825,0.67771743
4,0.55157608,0.65628633,0.64463931,0.62970986,1.0,0.5965794,0.61791307,0.73352598,0.66528956,0.60347181,0.64606249,0.66547098
5,0.63001408,0.64691641,0.60239282,0.63251296,0.5965794,1.0,0.66048231,0.59939817,0.64685698,0.55278554,0.68236906,0.48931577
6,0.6905187,0.64237942,0.70389282,0.68893293,0.61791307,0.66048231,1.0,0.72691944,0.67321388,0.70031478,0.6145602,0.72754299
7,0.58817709,0.66886656,0.68973843,0.6925186,0.73352598,0.59939817,0.72691944,1.0,0.63547052,0.58227116,0.75122055,0.70176685
8,0.61267572,0.86038642,0.70102795,0.88411937,0.66528956,0.64685698,0.67321388,0.63547052,1.0,0.68413742,0.64031189,0.70853361
9,0.74812118,0.71226684,0.65821004,0.75640266,0.60347181,0.55278554,0.70031478,0.58227116,0.68413742,1.0,0.59004827,0.69468797
10,0.59410977,0.67085629,0.59649277,0.64607825,0.64606249,0.68236906,0.6145602,0.75122055,0.64031189,0.59004827,1.0,0.66288896
11,0.65637612,0.72193735,0.72473604,0.67771743,0.66547098,0.48931577,0.72754299,0.70176685,0.70853361,0.69468797,0.66288896,1.0
